Quantity,Reference Designator,Model
1,R1B,"17.8k ohm, 0603, 1%"
1,R2B,"140k ohm, 0603, 1%"
5,"R4B, R4A, R5M, JP2, R2A","0 ohm, 0603"
1,R1A,"15.8k ohm, 0603, 1%"
2,"C5B, C6A","100nF, 1206, C0G, 5%"
1,C2B,"10nF, 0603, C0G, 5%"
4,"C9B, C0B, C9A, C0A","100nF, 0603, X7R, 20%"
2,"C101M, C100M","10uF, 6032, tantalum, 20%"
2,"U1B, U1A","ADA4622-2, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
2," J3M, J4M","65474-010LF, 0.1"" jumper"
2," J1B, J1A","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
