Frequency,Nominal,Min,Max
10,-125.61855780383812,-127.23216717363874,-123.94399834323816
10.232929922807541,-126.13871671836145,-127.75407190236584,-124.45990491528687
10.471285480508994,-126.65718398753293,-128.27335443412198,-124.97505937555385
10.715193052376064,-127.17353196619696,-128.7895783398622,-125.48904914213816
10.96478196143185,-127.68732707801996,-129.3023034486507,-126.00145354880458
11.220184543019634,-128.19813060192703,-129.8110866523468,-126.51184457253761
11.481536214968827,-128.70549946745857,-130.3154827034889,-127.01978758508348
11.748975549395295,-129.20898705280499,-130.8150449999532,-127.52484212292525
12.022644346174129,-129.70814397914472,-131.30932634997234,-128.02656266979895
12.302687708123814,-130.20251889480835,-131.79787971121934,-128.52449944562235
12.589254117941671,-130.69165924282808,-132.2802588978235,-129.0181991955057
12.882495516931337,-131.17511200545877,-132.7560192494079,-129.50720597240462
13.182567385564068,-131.65242441941172,-133.22471825652752,-129.99106190691288
13.489628825916533,-132.12314465571885,-133.6859161372178,-130.4693079577152
13.803842646028844,-132.58682245840532,-134.13917635972535,-130.94148463630867
14.125375446227538,-133.0430097364463,-134.58406610691267,-131.4071326997329
14.45439770745927,-133.49126110383256,-135.03653471455493,-131.8587708827096
14.791083881682068,-133.93113436295639,-135.4809053572651,-132.29365457274514
15.135612484362076,-134.36219092694284,-135.91623719487768,-132.72001197891257
15.488166189124808,-134.78399617698622,-136.34211828722485,-133.13738715026594
15.84893192461113,-135.19611975120634,-136.75814188297565,-133.54532729658337
16.218100973589294,-135.59813576197922,-137.16390654212844,-133.94338310735387
16.5958690743756,-135.98962293915744,-137.5590161827744,-134.3311090003687
16.982436524617437,-136.37016469701453,-137.94308005074663,-134.7080632969242
17.37800828749375,-136.73934912316983,-138.31571261111935,-135.07380832109064
17.78279410038922,-137.09676888812712,-138.67653336085345,-135.4279104209294
18.197008586099827,-137.44202107441518,-139.0251665621593,-135.76993990995348
18.620871366628666,-137.77470692461748,-139.36124089637033,-136.099470927514
19.054607179632463,-138.09443150785512,-139.6843890383089,-136.41608121713958
19.498445997580443,-138.4008033044892,-139.9942471512398,-136.719351822163
19.952623149688787,-138.69343370898244,-140.2904543025718,-137.00886669824658
20.417379446695282,-138.97193645096726,-140.57265180048313,-137.28421224262908
20.892961308540382,-139.23592693462118,-140.84048245158647,-137.54497674009286
21.379620895022306,-139.48502149645915,-141.09358973965092,-137.79074972577905
21.87761623949551,-139.71883658159666,-141.3316169252295,-138.02112126504719
22.38721138568338,-139.93698783843286,-141.55420606582064,-138.23568115060738
22.908676527677713,-140.13908913155663,-141.76099695592768,-138.43401801713384
23.442288153199204,-140.32475147246805,-141.95162598604816,-138.6157183735076
23.988329190194886,-140.4935818674722,-142.12572491926218,-138.78036555273476
24.547089156850284,-140.64518208181389,-142.28291958366856,-138.92753857945686
25.11886431509578,-140.77914731880566,-142.42282847846053,-139.05681095480068
25.703957827688615,-140.89506481235574,-142.54506129094463,-139.16774935814126
26.302679918953796,-140.99251233093338,-142.64921732126652,-139.2599122651462
